int,name,stack,meta
# Registry layout: logical group comments mirror data/registry/item-subgroups.json.
# Existing hierarchical IDs are immutable; comments do not define allocation namespaces.

# base/terrain — allocation pool 00 (logical subgroups below)
# base/terrain/stone-ground — legacy items
0:0:0,air,0,0
0:0:1,stone,,0
0:0:2,cobblestone,,0
0:0:3,sand,,0
0:0:4,glass,,0
0:0:5,obsidian,,0
0:0:6,brick_block,,0
0:0:7,dirt,,0
0:0:8,grass,,0

# base/terrain additions — approved useful resources
0:0:9,brick,,0
0:0:10,clay,,0
0:0:11,clay_ball,64,0
0:0:12,flint,64,0
0:0:13,glass_pane,,0
0:0:14,grass_block,,0
0:0:15,gravel,,0
0:0:16,sandstone,,0
0:0:17,stone_bricks,,0
0:0:18,sugar_cane,,0

# base/terrain/vegetation — deferred issue21 additions
# base/terrain/manufactured-building — deferred issue21 additions
# base/terrain/decorative — deferred issue21 additions

# base/wood — allocation pool 010
# base/wood/raw — legacy items
0:10:11:2,oak_log,,0
# base/wood/foliage — legacy items
0:10:11:3,oak_leaves,,0
# base/wood/planks — legacy allocation anchor 01000
0:10:00:0,oak_planks,,0
0:10:00:1,spruce_planks,,0
0:10:00:2,birch_planks,,0
# base/wood/slabs-stairs-fences — legacy allocation anchor 01001
0:10:01:0,oak_slab,,0
0:10:01:1,spruce_slab,,0
# base/wood/doors-trapdoors-mechanisms — legacy allocation anchor 01010
0:10:10:0,oak_door,,0
0:10:10:1,spruce_door,,0
# base/wood/containers-utility — legacy allocation anchor 01011
0:10:11:0,chest,,0
0:10:11:1,crafting_table,,0


# base/wood additions — approved useful wood variants
0:10:3,acacia_log,,0
0:10:4,acacia_planks,,0
0:10:5,birch_leaves,,0
0:10:6,birch_log,,0
0:10:7,birch_sapling,,0
0:10:8,birch_slab,,0
0:10:9,birch_stairs,,0
0:10:10,dark_oak_log,,0
0:10:11,dark_oak_planks,,0
0:10:12,jungle_log,,0
0:10:13,jungle_planks,,0
0:10:14,oak_fence,,0
0:10:15,oak_fence_gate,,0
0:10:16,oak_sapling,,0
0:10:17,oak_stairs,,0
0:10:18,oak_trapdoor,,0
0:10:19,rubber_wood,,0
0:10:20,spruce_fence,,0
0:10:21,spruce_leaves,,0
0:10:22,spruce_log,,0
0:10:23,spruce_sapling,,0
0:10:24,spruce_stairs,,0
0:10:25,wood_pulp,,0

# base/ingots — allocation pool 0110
# base/ingots/base-metals — legacy items
0:110:1,iron_ingot,,0
0:110:2,gold_ingot,,0
0:110:3,tin_ingot,,0
0:110:4,electrum_ingot,,0
0:110:5,uranium_ingot,,0
0:110:6,bronze_ingot,,0
0:110:7,copper_ingot,,0
# base/ingots/precious — deferred issue21 additions
# base/ingots/alloys — deferred issue21 additions
# base/ingots/rare-endgame — deferred issue21 additions
# base/ingots/non-metals — deferred issue21 additions


# base/ingots additions — recipe-required metals
0:110:0,aluminium_ingot,,0
0:110:8,brass_ingot,,0
0:110:9,chromium_ingot,,0
0:110:10,cupronickel_ingot,,0
0:110:11,invar_ingot,,0
0:110:12,iridium_ingot,,0
0:110:13,kanthal_ingot,,0
0:110:14,lead_ingot,,0
0:110:15,nichrome_ingot,,0
0:110:16,nickel_ingot,,0
0:110:17,osmium_ingot,,0
0:110:18,platinum_ingot,,0
0:110:19,rubber_ingot,,0
0:110:20,silver_ingot,,0
0:110:21,stainless_steel_ingot,,0
0:110:22,steel_ingot,,0
0:110:23,titanium_ingot,,0
0:110:24,tungsten_ingot,,0
0:110:25,tungstensteel_ingot,,0
0:110:26,zinc_ingot,,0

# base/ingots additions — quest category C endgame materials
0:110:27,naquadah_ingot,,0
0:110:28,naquadah_alloy_ingot,,0
0:110:29,hss_e_ingot,,0
0:110:30,neutronium_ingot,,0

# base/processed — allocation pool 01110
# base/processed/plates — allocation prefix 0:1110:000
0:1110:000:0,bronze_plate,,0
0:1110:000:1,aluminium_plate,,0
0:1110:000:2,brass_plate,,0
0:1110:000:3,chromium_plate,,0
0:1110:000:4,copper_plate,,0
0:1110:000:5,gold_plate,,0
0:1110:000:6,invar_plate,,0
0:1110:000:7,iridium_plate,,0
0:1110:000:8,iron_plate,,0
0:1110:000:9,lead_plate,,0
0:1110:000:10,osmium_plate,,0
0:1110:000:11,platinum_plate,,0
0:1110:000:12,silver_plate,,0
0:1110:000:13,stainless_steel_plate,,0
0:1110:000:14,steel_plate,,0
0:1110:000:15,tin_plate,,0
0:1110:000:16,titanium_plate,,0
0:1110:000:17,tungsten_plate,,0
0:1110:000:18,tungstensteel_plate,,0
0:1110:000:19,wooden_pressure_plate,,0
0:1110:000:20,zinc_plate,,0

# base/processed/plates additions — quest category C advanced materials
0:1110:000:21,graphene,,0
0:1110:000:22,carbon_fiber,,0
# base/processed/dusts — allocation prefix 0:1110:001
0:1110:001:0,aluminium_dust,,0
0:1110:001:1,brass_dust,,0
0:1110:001:2,carbon_dust,,0
0:1110:001:3,chromium_dust,,0
